AudioFileOriginal	Sentence	AudioFileNew
Audio_041.wav	cheap expensive banana	Audio_stim_01_prodBanana-adj1Cheap-adj2Expensive_order1_pros1.wav
Audio_042.wav	strong expensive rhubarb	Audio_stim2_07_prodRhubarb-adj1Expensive-adj2Strong_order2_pros1.wav
Audio_043.wav	mild flavorful apple	Audio_stim_09_prodApple-adj1Mild-adj2Flavorful_order1_pros2.wav
Audio_044.wav	strong juicy onion	Audio_stim2_10_prodOnion-adj1Juicy-adj2Strong_order2_pros2.wav
Audio_045.wav	sparse dense broccoli	Audio_stim_10_prodBroccoli-adj1Sparse-adj2Dense_order1_pros1.wav
Audio_046.wav	expensive juicy mango	Audio_stim2_01_prodMango-adj1Expensive-adj2Juicy_order1_pros1.wav
Audio_047.wav	bright summer squash	Audio_stimFill_08_prodBrightSummerSquash-adj1Humid-adj2Hot_order0_pros0.wav
Audio_048.wav	weak cheap lime	Audio_stim2_04_prodLime-adj1Cheap-adj2Weak_order2_pros1.wav
Audio_049.wav	dark bright clementine	Audio_stim_05_prodClementine-adj1Dark-adj2Bright_order1_pros2.wav
Audio_050.wav	long short leek	Audio_stim_02_prodLeek-adj1Short-adj2Long_order2_pros1.wav
Audio_051.wav	light heavy watermelon	Audio_stim_04_prodWatermelon-adj1Light-adj2Heavy_order1_pros2.wav
Audio_052.wav	dense sparse broccoli	Audio_stim_10_prodBroccoli-adj1Sparse-adj2Dense_order2_pros2.wav
Audio_053.wav	strong dry cabbage	Audio_stim2_11_prodCabbage-adj1Dry-adj2Strong_order2_pros2.wav
Audio_054.wav	dense sparse broccoli	Audio_stim_10_prodBroccoli-adj1Sparse-adj2Dense_order2_pros1.wav
Audio_055.wav	weak cheap lime	Audio_stim2_04_prodLime-adj1Cheap-adj2Weak_order2_pros2.wav
Audio_056.wav	fresh stale potato	Audio_stim_06_prodPotato-adj1Stale-adj2Fresh_order2_pros1.wav
Audio_057.wav	cheap dry grapefruit	Audio_stim2_02_prodGrapefruit-adj1Cheap-adj2Dry_order1_pros2.wav
Audio_058.wav	flavorful mild apple	Audio_stim_09_prodApple-adj1Mild-adj2Flavorful_order2_pros2.wav
Audio_059.wav	weak expensive garlic	Audio_stim2_05_prodGarlic-adj1Expensive-adj2Weak_order2_pros2.wav
Audio_060.wav	heavy light watermelon	Audio_stim_04_prodWatermelon-adj1Light-adj2Heavy_order2_pros2.wav
Audio_061.wav	weak expensive garlic	Audio_stim2_05_prodGarlic-adj1Expensive-adj2Weak_order2_pros1.wav
Audio_062.wav	juicy expensive mango	Audio_stim2_01_prodMango-adj1Expensive-adj2Juicy_order2_pros2.wav
Audio_063.wav	expensive dry pumpkin	Audio_stim2_03_prodPumpkin-adj1Expensive-adj2Dry_order1_pros2.wav
Audio_064.wav	ugly pretty zucchini	Audio_stim_03_prodZucchini-adj1Ugly-adj2Pretty_order1_pros1.wav
Audio_065.wav	thin fat turnip	Audio_stim_08_prodTurnip-adj1Thin-adj2Fat_order1_pros2.wav
Audio_066.wav	blueberry	Audio_stimFill_01_prodBlueberry-adj1Blue-adj2Berry_order0_pros0.wav
Audio_067.wav	weak dry pineapple	Audio_stim2_09_prodPineapple-adj1Dry-adj2Weak_order2_pros2.wav
Audio_068.wav	long short leek	Audio_stim_02_prodLeek-adj1Short-adj2Long_order2_pros2.wav
Audio_069.wav	thin fat turnip	Audio_stim_08_prodTurnip-adj1Thin-adj2Fat_order1_pros1.wav
Audio_070.wav	spiky artichoke	Audio_stimFill_04_prodSpikyArtichoke-adj1Ripe-adj2Spiky_order0_pros0.wav
Audio_071.wav	weak dry pineapple	Audio_stim2_09_prodPineapple-adj1Dry-adj2Weak_order2_pros1.wav
Audio_072.wav	cheap strong ginger	Audio_stim2_06_prodGinger-adj1Cheap-adj2Strong_order1_pros1.wav
Audio_073.wav	expensive dry pumpkin	Audio_stim2_03_prodPumpkin-adj1Expensive-adj2Dry_order1_pros1.wav
Audio_074.wav	dark bright clementine	Audio_stim_05_prodClementine-adj1Dark-adj2Bright_order1_pros1.wav
Audio_075.wav	dry weak pineapple	Audio_stim2_09_prodPineapple-adj1Dry-adj2Weak_order1_pros2.wav
Audio_076.wav	dirty clean mushroom	Audio_stim_11_prodMushroom-adj1Dirty-adj2Clean_order1_pros2.wav
Audio_077.wav	light heavy watermelon	Audio_stim_04_prodWatermelon-adj1Light-adj2Heavy_order1_pros1.wav
Audio_078.wav	stale fresh potato	Audio_stim_06_prodPotato-adj1Stale-adj2Fresh_order1_pros2.wav
Audio_079.wav	short long leek	Audio_stim_02_prodLeek-adj1Short-adj2Long_order1_pros2.wav
Audio_080.wav	cheap dry grapefruit	Audio_stim2_02_prodGrapefruit-adj1Cheap-adj2Dry_order1_pros1.wav
Audio_081.wav	tomato	Audio_stimFill_00_prodTomato-adj1Vegetable-adj2Fruit_order0_pros0.wav
Audio_082.wav	cheap weak lime	Audio_stim2_04_prodLime-adj1Cheap-adj2Weak_order1_pros2.wav
Audio_083.wav	bright dark clementine	Audio_stim_05_prodClementine-adj1Dark-adj2Bright_order2_pros2.wav
Audio_084.wav	juicy strong onion	Audio_stim2_10_prodOnion-adj1Juicy-adj2Strong_order1_pros1.wav
Audio_085.wav	strong expensive rhubarb	Audio_stim2_07_prodRhubarb-adj1Expensive-adj2Strong_order2_pros2.wav
Audio_086.wav	tart sweet pear	Audio_stim_07_prodPear-adj1Tart-adj2Sweet_order1_pros1.wav
Audio_087.wav	pretty ugly zucchini	Audio_stim_03_prodZucchini-adj1Ugly-adj2Pretty_order2_pros1.wav
Audio_088.wav	dry weak pineapple	Audio_stim2_09_prodPineapple-adj1Dry-adj2Weak_order1_pros1.wav
Audio_089.wav	dark ripe avocado	Audio_stimFill_10_prodDarkRipeAvocado-adj1Ripe-adj2Dry_order0_pros0.wav
Audio_090.wav	weak juicy pomegranate	Audio_stim2_08_prodPomegranate-adj1Juicy-adj2Weak_order2_pros1.wav
Audio_091.wav	green grape	Audio_stimFill_07_prodGreenGrape-adj1Green-adj2Red_order0_pros0.wav
Audio_092.wav	strong cheap ginger	Audio_stim2_06_prodGinger-adj1Cheap-adj2Strong_order2_pros1.wav
Audio_093.wav	juicy weak pomegranate	Audio_stim2_08_prodPomegranate-adj1Juicy-adj2Weak_order1_pros1.wav
Audio_094.wav	mild flavorful apple	Audio_stim_09_prodApple-adj1Mild-adj2Flavorful_order1_pros1.wav
Audio_095.wav	big small eggplant	Audio_stim_00_prodEggplant-adj1Small-adj2Big_order2_pros2.wav
Audio_096.wav	cheap strong ginger	Audio_stim2_06_prodGinger-adj1Cheap-adj2Strong_order1_pros2.wav
Audio_097.wav	cheap juicy peach	Audio_stim2_00_prodPeach-adj1Cheap-adj2Juicy_order1_pros2.wav
Audio_098.wav	dry expensive pumpkin	Audio_stim2_03_prodPumpkin-adj1Expensive-adj2Dry_order2_pros2.wav
Audio_099.wav	dry cheap grapefruit	Audio_stim2_02_prodGrapefruit-adj1Cheap-adj2Dry_order2_pros2.wav
Audio_100.wav	juicy weak pomegranate	Audio_stim2_08_prodPomegranate-adj1Juicy-adj2Weak_order1_pros2.wav
Audio_101.wav	expensive weak garlic	Audio_stim2_05_prodGarlic-adj1Expensive-adj2Weak_order1_pros2.wav
Audio_102.wav	sweet beet	Audio_stimFill_05_prodSweetBeet-adj1Sweet-adj2Cheap_order0_pros0.wav
Audio_103.wav	strong cheap ginger	Audio_stim2_06_prodGinger-adj1Cheap-adj2Strong_order2_pros2.wav
Audio_104.wav	fresh stale potato	Audio_stim_06_prodPotato-adj1Stale-adj2Fresh_order2_pros2.wav
Audio_105.wav	clean dirty mushroom	Audio_stim_11_prodMushroom-adj1Dirty-adj2Clean_order2_pros2.wav
Audio_106.wav	tart sweet pear	Audio_stim_07_prodPear-adj1Tart-adj2Sweet_order1_pros2.wav
Audio_107.wav	expensive weak garlic	Audio_stim2_05_prodGarlic-adj1Expensive-adj2Weak_order1_pros1.wav
Audio_108.wav	expensive cheap banana	Audio_stim_01_prodBanana-adj1Cheap-adj2Expensive_order2_pros1.wav
